EQUIPMENT_ID,EQUIPMENT_NAME,FUNCTIONAL_LOCATION,EQUIPMENT_TYPE,MANUFACTURER,MODEL_NUMBER,SERIAL_NUMBER,INSTALL_DATE,WARRANTY_EXPIRY,STATUS,ACQUISITION_COST,CRITICALITY,LAST_MAINTENANCE,NEXT_MAINTENANCE_DUE
EQ-003203,Walk-in Cooler Unit,FF-MW-001-KIT,REFRIGERATION,Kolpak,KF7-1010,KOL-2016-204,2016-08-15,2021-08-15,Operational,14500.00,Critical,2024-12-10,2025-03-10
EQ-003204,Ice Machine,FF-MW-001-KIT,ICE_MAKER,Manitowoc,IY-0696A,MAN-2016-205,2016-08-15,2019-08-15,Operational,4100.00,Medium,2024-11-22,2025-02-22
EQ-003205,Soft Serve Machine,FF-MW-001-FOH,SOFT_SERVE,Taylor,C713,TAY-2016-206,2016-08-15,2019-08-15,Operational,7800.00,Medium,2024-10-30,2025-01-30
EQ-003206,POS Terminal #1,FF-MW-001-FOH,POS,NCR,7167,NCR-2016-207,2016-08-15,2019-08-15,Operational,2100.00,High,2024-09-10,2025-09-10
EQ-003207,POS Terminal #2,FF-MW-001-FOH,POS,NCR,7167,NCR-2016-208,2016-08-15,2019-08-15,Operational,2100.00,High,2024-09-10,2025-09-10
EQ-003208,POS Terminal #3,FF-MW-001-FOH,POS,NCR,7167,NCR-2016-209,2016-08-15,2019-08-15,Operational,2100.00,High,2024-09-10,2025-09-10
EQ-003209,Beverage Dispenser #1,FF-MW-001-FOH,BEVERAGE,Cornelius,ED250,COR-2016-210,2016-08-15,2019-08-15,Operational,1800.00,Medium,2024-11-08,2025-02-08
EQ-003210,Beverage Dispenser #2,FF-MW-001-FOH,BEVERAGE,Cornelius,ED250,COR-2016-211,2016-08-15,2019-08-15,Operational,1800.00,Medium,2024-11-08,2025-02-08
EQ-004300,Commercial Fryer #1,FF-W-001-KIT,FRYER,Frymaster,FPRE214,FRY-2016-301,2016-04-12,2019-04-12,Operational,11500.00,High,2024-11-18,2025-02-18
EQ-004301,Commercial Fryer #2,FF-W-001-KIT,FRYER,Frymaster,FPRE214,FRY-2016-302,2016-04-12,2019-04-12,Operational,11500.00,High,2024-11-18,2025-02-18
EQ-004302,Commercial Griddle,FF-W-001-KIT,GRIDDLE,Vulcan,MSA60,VUL-2016-303,2016-04-12,2019-04-12,Down,6200.00,High,2024-08-10,2024-11-10
EQ-004303,Walk-in Cooler Unit,FF-W-001-STOR,REFRIGERATION,Kolpak,KF7-1210,KOL-2016-304,2016-04-12,2021-04-12,Operational,15800.00,Critical,2024-12-08,2025-03-08
EQ-004304,Ice Machine,FF-W-001-KIT,ICE_MAKER,Scotsman,C0830MA,SCO-2016-305,2016-04-12,2019-04-12,Operational,4800.00,Medium,2024-11-12,2025-02-12
EQ-004305,Soft Serve Machine,FF-W-001-FOH,SOFT_SERVE,Taylor,C713,TAY-2016-306,2016-04-12,2019-04-12,Operational,7800.00,Medium,2024-10-25,2025-01-25
EQ-004306,POS Terminal #1,FF-W-001-FOH,POS,NCR,7167,NCR-2016-307,2016-04-12,2019-04-12,Operational,2100.00,High,2024-09-05,2025-09-05
EQ-004307,POS Terminal #2,FF-W-001-FOH,POS,NCR,7167,NCR-2016-308,2016-04-12,2019-04-12,Operational,2100.00,High,2024-09-05,2025-09-05
EQ-004308,POS Terminal #3,FF-W-001-FOH,POS,NCR,7167,NCR-2016-309,2016-04-12,2019-04-12,Operational,2100.00,High,2024-09-05,2025-09-05
EQ-004309,Beverage Dispenser #1,FF-W-001-FOH,BEVERAGE,Cornelius,ED250,COR-2016-310,2016-04-12,2019-04-12,Operational,1800.00,Medium,2024-11-03,2025-02-03
EQ-004310,Beverage Dispenser #2,FF-W-001-FOH,BEVERAGE,Cornelius,ED250,COR-2016-311,2016-04-12,2019-04-12,Operational,1800.00,Medium,2024-11-03,2025-02-03
EQ-004311,Prep Table Refrigerator,FF-W-001-KIT,REFRIGERATION,True,TPP-93,TRU-2016-312,2016-04-12,2019-04-12,Operational,3400.00,Medium,2024-10-22,2025-01-22
